,Open Time,Open,High,Low,Close,Volume,Quote Asset Volume,Number of Trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset Volume
133,2019-05-02,5383.20000000,5538.00000000,5370.00000000,5492.87000000,22795.78783500,124498567.20765440,181896,11908.89589200,65029410.50078300
134,2019-05-03,5494.81000000,5844.00000000,5477.57000000,5772.69000000,46297.17284900,264435878.92811019,338298,24992.74319000,142732584.07587240
135,2019-05-04,5770.62000000,5900.00000000,5587.45000000,5829.45000000,39682.40899100,228942582.45077919,283145,21037.29947700,121524183.92743250
136,2019-05-05,5829.83000000,5839.90000000,5696.00000000,5775.62000000,23822.54377500,137653160.76602159,185365,11824.08792100,68357177.93240788
137,2019-05-06,5773.18000000,5805.00000000,5619.14000000,5747.79000000,25256.59632500,144358553.85462249,230431,12922.62549000,73880906.50332905
138,2019-05-07,5749.92000000,6028.41000000,5747.74000000,5846.34000000,39905.06442200,236176663.81792103,301388,21302.98121700,126064101.91225619
139,2019-05-08,5846.34000000,6014.72000000,5772.20000000,5987.29000000,23074.18690700,136246055.59559173,190969,11961.03635900,70660061.87146753
140,2019-05-09,5986.66000000,6224.55000000,5983.71000000,6209.18000000,27453.01143600,167489934.34358988,227841,13875.18235600,84696142.54932348
141,2019-05-10,6209.95000000,6468.92000000,6172.00000000,6373.33000000,36623.61079000,231801342.43209280,283074,18548.92799500,117379030.42732471
142,2019-05-11,6375.16000000,7343.99000000,6372.85000000,7076.22000000,74022.42439300,507216001.34340413,562540,40091.99721500,274656200.80251044
143,2019-05-12,7076.24000000,7521.78000000,6750.00000000,6967.31000000,86948.97533900,619939454.48965513,647345,42689.58967600,304720922.90832519
144,2019-05-13,6968.24000000,8100.00000000,6870.00000000,7790.71000000,85804.73533300,648012612.29270131,588497,45381.26225900,342327287.01661900
145,2019-05-14,7795.62000000,8366.00000000,7599.56000000,7947.56000000,76583.72260300,611103206.00327249,655426,38953.03233500,310810946.93725249
146,2019-05-15,7945.26000000,8249.00000000,7850.00000000,8169.87000000,37884.32721100,305196285.27558238,347533,19660.57618600,158426245.70097857
147,2019-05-16,8169.08000000,8320.00000000,7705.00000000,7866.59000000,69630.51399600,557126171.27896418,666538,35097.40415800,280897013.06816628
148,2019-05-17,7868.67000000,7925.00000000,6913.00000000,7355.26000000,88752.00815900,645676487.37440289,803893,45121.47497800,328348049.16308968
149,2019-05-18,7355.28000000,7458.00000000,7156.61000000,7257.45000000,37054.94477900,271170511.05093318,379504,19375.84836000,141830045.16939757
150,2019-05-19,7257.32000000,8275.09000000,7243.08000000,8148.48000000,65577.44205800,517729474.35844101,583432,35593.49002200,281177713.21845129
151,2019-05-20,8147.94000000,8156.03000000,7553.00000000,7938.15000000,65859.20856400,517939277.86885798,610360,34629.64564500,272371020.30677796
152,2019-05-21,7937.16000000,8042.32000000,7771.00000000,7904.87000000,52301.75224700,413637782.36974554,554038,27272.36044800,215730616.60421489
153,2019-05-22,7904.48000000,8016.00000000,7465.00000000,7628.43000000,49136.99458900,384730220.72195171,461337,24410.96266200,191296198.55463496
154,2019-05-23,7627.80000000,7940.98000000,7461.00000000,7851.51000000,49648.18470100,381536239.51284835,449220,25959.85983800,199607980.98608009
155,2019-05-24,7849.95000000,8130.00000000,7766.00000000,7964.87000000,46664.78532500,371381043.73160255,428676,25045.73342800,199347829.02587370
156,2019-05-25,7964.52000000,8091.80000000,7908.34000000,8025.41000000,28414.32881700,227376280.58540762,264448,15037.16499600,120334124.30243574
157,2019-05-26,8023.00000000,8740.00000000,7833.42000000,8614.43000000,49652.14456700,409616322.38847878,377306,26438.94680300,217911336.30408231
158,2019-05-27,8612.54000000,8908.32000000,8589.00000000,8756.32000000,51886.76879300,452651204.93490235,478773,27722.36963700,241864670.65173968
159,2019-05-28,8752.52000000,8798.49000000,8510.63000000,8715.64000000,31470.55153400,273791910.63147590,349123,16561.87681100,144108437.06115802
160,2019-05-29,8716.87000000,8750.00000000,8406.60000000,8645.68000000,33880.86592200,292094591.01803866,352317,17575.58031700,151595491.23598413
161,2019-05-30,8646.50000000,9074.26000000,8005.00000000,8269.54000000,70379.99852100,603312537.38084345,617341,34577.31059800,296613619.21904660
162,2019-05-31,8267.10000000,8594.00000000,8108.50000000,8555.00000000,44727.49162000,373629673.91901440,416525,23391.68846000,195418655.05339947
163,2019-06-01,8555.00000000,8626.00000000,8442.36000000,8544.07000000,31868.23415700,272098436.34069574,348375,16922.66242500,144486129.11826151
164,2019-06-02,8545.10000000,8814.78000000,8524.00000000,8725.98000000,27835.13326500,241414596.71950513,299353,14585.88699900,126530020.38343657
165,2019-06-03,8726.00000000,8800.95000000,8080.80000000,8115.82000000,45692.96510400,387155494.97304884,431252,22514.31685900,190882595.70344346
166,2019-06-04,8115.66000000,8115.66000000,7481.02000000,7687.03000000,74143.94894100,582173398.32579679,645913,36776.59713100,288822568.04322012
167,2019-06-05,7687.04000000,7896.70000000,7572.78000000,7776.50000000,48679.65645500,377635818.00440952,426120,26296.53395900,204082647.87673320
168,2019-06-06,7778.08000000,7868.13000000,7444.58000000,7786.70000000,36624.11874700,282156410.54378911,371485,18877.98638300,145537581.79160799
169,2019-06-07,7787.57000000,8100.00000000,7737.49000000,7980.53000000,33942.22565800,269125728.14164961,323096,17193.57559500,136343077.37705734
170,2019-06-08,7978.94000000,8044.65000000,7751.00000000,7893.62000000,22657.32963400,179047320.02388046,250864,11795.09729400,93237148.47454820
171,2019-06-09,7895.28000000,7935.00000000,7506.66000000,7628.13000000,31568.46515700,243970971.02443440,322175,16234.63127500,125591062.03917081
172,2019-06-10,7627.57000000,8020.00000000,7511.00000000,7982.75000000,36756.07846800,287125339.97011443,387179,19890.86856100,155461282.83139249
173,2019-06-11,7981.00000000,8010.00000000,7692.23000000,7884.90000000,30334.99942700,238031771.51747338,309059,15793.77245100,124001190.82079008
174,2019-06-12,7884.90000000,8200.00000000,7788.99000000,8127.64000000,41597.08262200,333291726.64600021,361980,22826.90102600,182925127.46756544
175,2019-06-13,8127.64000000,8309.82000000,8010.03000000,8218.54000000,30467.76434100,248418184.77204661,341246,16100.16134600,131293315.79862677
176,2019-06-14,8216.44000000,8684.41000000,8144.32000000,8650.00000000,39835.24625500,333475488.55375949,410072,20970.62382700,175588531.48519169
177,2019-06-15,8650.88000000,8864.99000000,8567.63000000,8808.70000000,31791.63603900,276420769.29338533,335840,16798.37929600,146051605.23593674
178,2019-06-16,8810.77000000,9333.00000000,8760.00000000,8953.33000000,63289.25121900,574211342.97966031,552319,33804.18204600,306793742.10849278
179,2019-06-17,8953.00000000,9444.00000000,8950.00000000,9313.96000000,47895.48537400,441567296.05926622,462160,24826.97685000,228962151.24115250
180,2019-06-18,9312.13000000,9336.36000000,8950.00000000,9081.55000000,51554.56940100,470271954.29870564,449730,28057.04733500,255972426.13011804
181,2019-06-19,9081.97000000,9304.00000000,8960.00000000,9255.49000000,32147.70649500,293748062.66684875,306202,17533.23301600,160303572.01579759
182,2019-06-20,9253.76000000,9590.00000000,9175.20000000,9517.12000000,34556.05398200,323621848.19876171,350662,18032.19071400,168891671.53448428
183,2019-06-21,9518.06000000,10174.99000000,9518.06000000,10159.86000000,50484.41589200,494783687.98535151,474344,28305.73274900,277616242.76671947
184,2019-06-22,10159.86000000,11160.00000000,9921.72000000,10729.50000000,104169.44797600,1112069567.63811481,923334,55336.62358700,590676435.78882355
185,2019-06-23,10729.00000000,11392.64000000,10555.18000000,10906.07000000,57445.32394500,625330374.74668832,557935,30129.80103300,327919162.55038311
186,2019-06-24,10905.95000000,11143.63000000,10620.80000000,11056.59000000,43101.04528500,469746663.93811732,440335,22674.41385100,247193774.35494487
187,2019-06-25,11056.59000000,11850.00000000,11026.00000000,11820.86000000,61276.68664800,697773986.26918588,597798,32838.33556600,373915513.28231270
188,2019-06-26,11821.28000000,13970.00000000,11741.00000000,13093.80000000,155930.14738600,1996178374.59449220,1355074,76046.06420600,973444882.21756229
189,2019-06-27,13098.38000000,13478.04000000,10525.10000000,11329.99000000,173894.82088900,2058443849.31399992,1357233,80442.11991600,951733425.60878133
190,2019-06-28,11329.99000000,12480.00000000,10982.88000000,12400.63000000,95795.20396400,1129888341.32128373,883116,48847.10788300,576552254.91960096
191,2019-06-29,12407.06000000,12441.54000000,11475.02000000,11903.13000000,69642.07415700,829011822.23653242,732073,36061.45936900,429403585.74678667
192,2019-06-30,11903.13000000,12180.00000000,10766.03000000,10854.10000000,84512.53044300,971151050.90058159,711267,42697.44000000,492370966.31592094
193,2019-07-01,10854.10000000,11282.28000000,10030.00000000,10624.93000000,90962.26827100,972343281.86035535,757458,44210.98836500,473020897.41183619
194,2019-07-02,10624.90000000,10938.75000000,9727.00000000,10842.85000000,109561.03872800,1128353804.80079160,870148,54998.50360600,566863180.55092289
