,BTCUSDT,XMRUSDT,AAVEUSDT,DOTUSDT,CRVUSDT,LTCUSDT,SOLUSDT,UNIUSDT,TRXUSDT,BNBUSDT,ADAUSDT,EOSUSDT,DOGEUSDT,MATICUSDT,ETHUSDT
2023-02-06 00:00:00,22762.52000000,164.50000000,84.10000000,6.49400000,1.04600000,95.93000000,22.66000000,6.64700000,0.06316000,324.30000000,0.38230000,1.05900000,0.08955000,1.19100000,1614.29000000
2023-02-07 00:00:00,23240.46000000,168.20000000,88.70000000,6.94100000,1.09000000,100.86000000,23.82000000,6.97900000,0.06577000,333.00000000,0.39890000,1.11200000,0.09253000,1.26990000,1671.03000000
2023-02-08 00:00:00,22963.00000000,165.60000000,87.00000000,6.75700000,1.14000000,99.22000000,23.22000000,6.81200000,0.06695000,328.20000000,0.39420000,1.08400000,0.09018000,1.30620000,1650.43000000
2023-02-09 00:00:00,21796.35000000,152.60000000,77.80000000,6.23500000,0.97300000,92.05000000,20.48000000,6.33000000,0.06265000,306.20000000,0.36220000,1.04400000,0.08144000,1.22970000,1545.35000000
2023-02-10 00:00:00,21625.19000000,154.70000000,78.70000000,6.18600000,0.96000000,93.34000000,20.11000000,6.36500000,0.06329000,305.80000000,0.35810000,1.05200000,0.08089000,1.22980000,1513.06000000
2023-02-11 00:00:00,21862.55000000,161.40000000,79.40000000,6.27800000,0.95800000,94.28000000,20.81000000,6.48100000,0.06372000,310.40000000,0.36840000,1.05700000,0.08225000,1.24930000,1538.51000000
2023-02-12 00:00:00,21783.54000000,159.50000000,77.40000000,6.18100000,0.92800000,92.51000000,21.49000000,6.34600000,0.06388000,312.60000000,0.36410000,1.04200000,0.08215000,1.23600000,1514.83000000
2023-02-13 00:00:00,21773.97000000,155.90000000,82.40000000,6.14300000,1.05400000,91.05000000,20.77000000,6.24400000,0.06560000,294.30000000,0.35930000,1.03000000,0.08209000,1.18510000,1505.24000000
2023-02-14 00:00:00,22199.84000000,158.50000000,83.10000000,6.22700000,1.07800000,95.82000000,21.84000000,6.58900000,0.06675000,296.20000000,0.38670000,1.04800000,0.08360000,1.25790000,1555.71000000
2023-02-15 00:00:00,24324.05000000,165.50000000,89.50000000,6.61200000,1.14600000,102.82000000,23.86000000,6.93000000,0.07085000,317.40000000,0.41900000,1.09900000,0.08928000,1.32830000,1674.92000000
2023-02-16 00:00:00,23517.72000000,155.70000000,84.00000000,6.32700000,1.09500000,98.55000000,22.24000000,6.47700000,0.06683000,304.40000000,0.38740000,1.04500000,0.08489000,1.37110000,1637.84000000
2023-02-17 00:00:00,24569.97000000,159.60000000,86.40000000,7.28400000,1.21600000,100.12000000,23.14000000,6.73800000,0.07031000,313.00000000,0.40330000,1.19200000,0.08771000,1.52390000,1693.87000000
2023-02-18 00:00:00,24631.95000000,161.60000000,91.00000000,7.22900000,1.25300000,99.71000000,23.45000000,6.97600000,0.07014000,316.50000000,0.40600000,1.23600000,0.08882000,1.48470000,1691.62000000
2023-02-19 00:00:00,24271.76000000,162.30000000,90.10000000,7.43800000,1.20400000,97.43000000,24.84000000,7.21000000,0.07038000,311.50000000,0.39950000,1.22900000,0.08697000,1.47850000,1679.75000000
2023-02-20 00:00:00,24842.20000000,161.70000000,92.00000000,7.55100000,1.26900000,95.90000000,26.26000000,7.37100000,0.07197000,315.40000000,0.40380000,1.27300000,0.08829000,1.47530000,1703.27000000
2023-02-21 00:00:00,24452.16000000,159.60000000,87.80000000,7.25100000,1.16200000,93.80000000,24.98000000,7.03600000,0.06948000,311.50000000,0.39250000,1.22100000,0.08546000,1.38670000,1659.76000000
2023-02-22 00:00:00,24182.21000000,157.70000000,85.00000000,7.18600000,1.10800000,95.28000000,24.16000000,6.93100000,0.06944000,312.40000000,0.38880000,1.20800000,0.08550000,1.39560000,1643.14000000
2023-02-23 00:00:00,23940.20000000,151.90000000,85.60000000,7.09300000,1.07900000,94.59000000,23.91000000,6.94300000,0.06955000,308.30000000,0.38240000,1.18000000,0.08425000,1.35330000,1650.53000000
2023-02-24 00:00:00,23185.29000000,150.40000000,81.60000000,6.61400000,0.99700000,91.55000000,23.07000000,6.57200000,0.06787000,302.30000000,0.36580000,1.11800000,0.08092000,1.26500000,1607.80000000
2023-02-25 00:00:00,23157.07000000,149.00000000,80.00000000,6.54400000,0.98700000,93.15000000,22.37000000,6.46900000,0.06785000,302.40000000,0.36200000,1.10800000,0.08075000,1.24700000,1594.58000000
2023-02-26 00:00:00,23554.85000000,151.30000000,82.20000000,6.69100000,1.02100000,95.27000000,23.25000000,6.61000000,0.06951000,308.70000000,0.36910000,1.12600000,0.08216000,1.28170000,1641.36000000
